,,,,,,,
STD_ID,STD_NAME,SEX,PERCENTAGE,CLASS,SEC,STREAM_,DOB
1001,SUREKHA_JOSHI,FEMALE,82,12,A,SCIENCE,08-03-1998
1002,MAHI AGRWAL,FEMALE,56,11,C,COMMERCE,23-11-2008
1003,SANAM AGRWAL,MALE,59,11,C,COMMERCE,29-06-2006
1004,RONIT KUMAR,MALE,63,11,C,COMMERCE,11-05-1997
1005,DIPESH PULKIT,MALE,78,11,B,SCIENCE,14-09-2003
1006,JAHANVI PURI,FEMALE,60,11,B,COMMERCE,11-07-2008
1007,SANAM KUMAR,MALE,23,12,F,COMMERCE,03-08-1998
1008,SAHIL SARAS,MALE,56,11,C,COMMERCE,11-07-2008
1009,AKSHARA AGRWAL,FEMALE,72,12,B,COMMERCE,10-01-1996
1010,STUTI MISHRA,FEMALE,39,11,F,SCIENCE,23-11-2008
1011,HARSH AGRWAL,MALE,42,11,C,SCIENCE,03-08-1998
1012,NIKUNJ AGRWAL,MALE,49,12,C,COMMERCE,28-06-1998
1013,AKRITI SAXENA,FEMALE,89,12,A,SCIENCE,23-11-2008
1014,TANI RASTOGI,FEMALE,82,12,A,SCIENCE,23-11-2008
